created_date,start_task,stop_task,task_name,task_nature,task_subtype
22/05/2020 08:41:49:365366,22/05/2020 07:45,22/05/2020 08:30,Routine,---,Morning
22/05/2020 08:42:06:536757,22/05/2020 08:30,22/05/2020 08:45,Study,---,Lectures
22/05/2020 09:18:04:991674,22/05/2020 08:45,22/05/2020 09:17,Work,---,Domestic
22/05/2020 09:44:38:022734,22/05/2020 09:17,22/05/2020 10:00,Indulgence,---,YouTube & Music
22/05/2020 11:26:04:548277,22/05/2020 10:00,22/05/2020 11:25,Indulgence,---,YouTube & Music
22/05/2020 12:18:10:641494,22/05/2020 11:25,22/05/2020 12:18,Indulgence,---,YouTube & Music
22/05/2020 12:37:10:058760,22/05/2020 12:18,22/05/2020 13:00,Indulgence,---,YouTube & Music
22/05/2020 19:59:51:468391,22/05/2020 14:30,22/05/2020 19:00,Sleep,---,Sleep
22/05/2020 20:00:49:187221,22/05/2020 19:00,22/05/2020 20:00,Routine,---,Dinner
22/05/2020 20:30:34:238885,22/05/2020 20:00,22/05/2020 20:30,Indulgence,---,Video games
22/05/2020 20:53:33:514774,22/05/2020 20:30,22/05/2020 21:00,Work,---,Job-Seeking
22/05/2020 21:16:12:045649,22/05/2020 21:00,22/05/2020 21:20,Work,---,Job-Seeking
22/05/2020 21:49:50:497609,22/05/2020 21:20,22/05/2020 21:50,Work,---,Job-Seeking
23/05/2020 00:01:47:256158,22/05/2020 21:50,22/05/2020 23:59,Indulgence,---,Video games
23/05/2020 00:02:19:115029,23/05/2020 00:00,23/05/2020 01:00,Routine,---,Dinner
23/05/2020 03:41:43:141524,23/05/2020 01:40,23/05/2020 03:40,Indulgence,---,YouTube & Music
23/05/2020 03:49:48:503047,23/05/2020 03:40,23/05/2020 04:00,Indulgence,---,YouTube & Music
23/05/2020 11:18:09:717716,23/05/2020 04:00,23/05/2020 04:30,Indulgence,---,YouTube & Music
23/05/2020 11:18:30:916229,23/05/2020 04:30,23/05/2020 10:15,Sleep,---,Sleep
23/05/2020 11:18:46:027970,23/05/2020 10:15,23/05/2020 11:30,Routine,---,Morning
23/05/2020 12:08:56:314818,23/05/2020 11:30,23/05/2020 12:10,Work,---,Domestic
23/05/2020 13:14:22:711436,23/05/2020 12:10,23/05/2020 13:10,Routine,---,Lunchtime
23/05/2020 14:27:03:072551,23/05/2020 13:25,23/05/2020 14:25,Indulgence,---,Video games
23/05/2020 17:03:45:039088,23/05/2020 14:30,23/05/2020 16:30,Indulgence,---,YouTube & Music
23/05/2020 17:03:56:404768,23/05/2020 16:30,23/05/2020 17:00,Work,---,Domestic
23/05/2020 19:21:10:655938,23/05/2020 17:00,23/05/2020 19:20,Indulgence,---,YouTube & Music
24/05/2020 10:58:49:332851,23/05/2020 19:20,23/05/2020 22:30,Indulgence,---,YouTube & Music
24/05/2020 10:59:06:186603,23/05/2020 22:30,24/05/2020 09:10,Sleep,---,Sleep
24/05/2020 10:59:13:892717,24/05/2020 09:10,24/05/2020 10:10,Routine,---,Morning
